step,mloss,gloss,loss
15600.0,0.6203,0.3622,0.9824999999999999
15700.0,0.6242,0.3634,0.9876
15800.0,0.6238,0.3623,0.9861
15900.0,0.6262,0.3636,0.9898
16000.0,0.625,0.3642,0.9892000000000001
16100.0,0.6262,0.3649,0.9911
16200.0,0.6256,0.3638,0.9894000000000001
16300.0,0.6201,0.3619,0.982
16400.0,0.6173,0.3611,0.9783999999999999
16500.0,0.6227,0.3649,0.9876
16600.0,0.6181,0.3618,0.9799
16700.0,0.6164,0.3632,0.9796
16800.0,0.6196,0.3631,0.9827
16900.0,0.6134,0.3627,0.9761
17000.0,0.6107,0.3612,0.9719
17100.0,0.6147,0.3612,0.9759
17200.0,0.6177,0.3618,0.9795
17300.0,0.6197,0.3614,0.9811000000000001
17400.0,0.6189,0.3611,0.98
17500.0,0.6158,0.3609,0.9767
17600.0,0.6109,0.3605,0.9714
17700.0,0.6114,0.3601,0.9715
17800.0,0.6096,0.3591,0.9687
17900.0,0.6145,0.3598,0.9743
18000.0,0.6095,0.3578,0.9673
18100.0,0.6128,0.3598,0.9726
18200.0,0.6072,0.3592,0.9663999999999999
18300.0,0.6098,0.3589,0.9687
18400.0,0.6079,0.3586,0.9664999999999999
18500.0,0.6074,0.3584,0.9658
18600.0,0.6089,0.3585,0.9674
18700.0,0.6075,0.3589,0.9664
18800.0,0.6053,0.3582,0.9635
18900.0,0.6089,0.3595,0.9683999999999999
19000.0,0.602,0.3585,0.9604999999999999
19100.0,0.6026,0.3569,0.9595
19200.0,0.6072,0.3594,0.9665999999999999
19300.0,0.6056,0.3573,0.9629000000000001
19400.0,0.6079,0.3576,0.9655
19500.0,0.6059,0.3586,0.9644999999999999
19600.0,0.6053,0.3576,0.9628999999999999
19700.0,0.6035,0.3579,0.9614
19800.0,0.6006,0.3558,0.9564
19900.0,0.6062,0.3581,0.9642999999999999
20000.0,0.602,0.3567,0.9587
20100.0,0.6,0.3553,0.9553
20200.0,0.6005,0.3569,0.9574
20300.0,0.6021,0.3556,0.9577
20400.0,0.6019,0.3572,0.9591000000000001
20500.0,0.6029,0.3552,0.9581
