iter	Passed	Remaining
444	1203	4204
445	1205	4200
446	1207	4196
447	1210	4191
448	1212	4188
449	1215	4186
450	1218	4183
451	1220	4179
452	1223	4177
453	1225	4172
454	1228	4170
455	1230	4166
456	1233	4164
457	1236	4161
458	1239	4160
459	1241	4155
460	1243	4152
461	1246	4148
462	1249	4146
463	1251	4142
464	1253	4138
465	1256	4136
466	1259	4135
467	1262	4133
468	1265	4130
469	1267	4126
470	1270	4123
471	1273	4121
472	1275	4119
473	1278	4115
474	1281	4112
475	1283	4110
476	1286	4107
477	1288	4103
478	1291	4101
479	1293	4097
480	1296	4093
481	1298	4090
482	1301	4088
483	1305	4087
484	1307	4085
485	1310	4082
486	1313	4080
487	1316	4078
488	1318	4074
489	1320	4070
490	1323	4068
491	1325	4064
492	1328	4060
493	1331	4058
494	1334	4056
495	1336	4052
496	1339	4050
497	1341	4046
498	1343	4042
499	1346	4039
500	1348	4035
501	1351	4032
502	1354	4029
503	1356	4026
504	1358	4023
505	1361	4020
506	1364	4017
507	1366	4014
508	1369	4010
509	1371	4007
510	1374	4004
511	1377	4002
512	1379	3999
513	1382	3997
514	1385	3995
515	1388	3993
516	1390	3989
517	1393	3987
518	1396	3985
519	1398	3981
520	1401	3979
521	1404	3976
522	1406	3972
523	1409	3970
524	1411	3966
525	1414	3964
526	1417	3962
527	1419	3958
528	1422	3955
529	1424	3951
530	1427	3948
531	1429	3945
532	1432	3943
533	1435	3942
534	1438	3939
535	1441	3937
536	1444	3934
537	1447	3934
538	1450	3931
539	1453	3929
540	1456	3927
541	1459	3925
542	1461	3922
543	1465	3921
544	1467	3918
545	1470	3915
546	1474	3916
547	1476	3912
548	1479	3910
549	1482	3909
550	1485	3906
551	1488	3903
552	1490	3900
553	1493	3896
554	1495	3894
555	1498	3892
556	1501	3890
557	1504	3887
558	1506	3883
559	1509	3881
560	1511	3878
561	1514	3875
562	1517	3872
563	1519	3869
564	1522	3866
565	1525	3864
566	1527	3861
567	1530	3858
568	1533	3855
569	1535	3853
570	1537	3849
571	1540	3846
572	1543	3843
573	1545	3840
574	1547	3836
575	1550	3832
576	1553	3830
577	1555	3827
578	1558	3825
579	1560	3821
580	1563	3818
581	1566	3815
582	1568	3812
583	1571	3810
584	1574	3807
585	1576	3804
586	1579	3801
587	1581	3798
588	1584	3795
589	1586	3792
590	1589	3789
591	1592	3787
592	1595	3785
593	1597	3781
594	1599	3778
595	1602	3775
596	1605	3773
597	1608	3770
598	1611	3768
599	1613	3765
600	1616	3763
601	1619	3761
602	1622	3758
603	1625	3756
604	1628	3754
605	1631	3752
606	1634	3749
607	1636	3746
608	1639	3744
609	1641	3741
610	1644	3738
611	1647	3736
612	1650	3733
613	1652	3730
614	1654	3726
615	1656	3722
616	1659	3720
617	1662	3717
618	1664	3713
619	1667	3711
620	1670	3708
621	1672	3706
622	1675	3702
623	1678	3700
624	1681	3698
625	1684	3697
626	1687	3696
627	1691	3694
628	1693	3692
629	1696	3689
630	1698	3685
631	1701	3683
632	1704	3681
633	1707	3678
634	1709	3674
635	1711	3671
636	1715	3669
637	1717	3667
638	1720	3665
639	1723	3662
640	1726	3660
641	1729	3657
642	1732	3655
643	1734	3652
644	1737	3650
645	1740	3647
646	1743	3645
647	1746	3643
648	1748	3640
649	1751	3637
650	1753	3634
651	1756	3630
652	1758	3627
653	1760	3624
654	1763	3621
655	1766	3619
656	1769	3616
657	1771	3613
658	1774	3611
659	1777	3609
660	1780	3607
661	1783	3604
662	1786	3602
663	1789	3599
664	1791	3597
665	1794	3594
666	1797	3591
667	1800	3589
668	1803	3587
669	1806	3585
670	1808	3582
671	1811	3579
672	1814	3577
673	1816	3574
674	1819	3571
675	1821	3568
676	1823	3564
677	1826	3560
678	1828	3558
679	1831	3555
680	1834	3553
681	1837	3550
682	1839	3547
683	1842	3544
684	1845	3541
685	1847	3539
686	1850	3537
687	1853	3534
688	1855	3530
689	1858	3528
690	1861	3525
691	1864	3523
692	1866	3521
693	1869	3517
694	1871	3514
695	1874	3511
696	1877	3509
697	1880	3506
698	1882	3503
699	1885	3501
700	1888	3499
701	1891	3496
702	1894	3494
703	1896	3492
704	1899	3489
705	1902	3487
706	1905	3484
707	1907	3481
708	1910	3479
709	1913	3477
710	1916	3474
711	1918	3470
712	1921	3467
713	1924	3465
714	1926	3463
715	1929	3459
716	1931	3456
717	1934	3454
718	1937	3451
719	1940	3449
720	1942	3446
721	1945	3443
722	1948	3441
723	1950	3437
724	1952	3434
725	1956	3432
726	1959	3430
727	1961	3427
728	1964	3425
729	1967	3423
730	1970	3420
731	1973	3417
732	1975	3415
733	1978	3412
734	1981	3409
735	1983	3406
736	1986	3403
737	1989	3402
738	1992	3399
739	1995	3398
740	1998	3396
741	2001	3393
742	2005	3392
743	2008	3390
744	2011	3388
745	2014	3385
746	2017	3383
747	2020	3381
748	2023	3380
749	2027	3379
750	2031	3379
751	2036	3379
752	2040	3379
753	2045	3380
754	2049	3380
755	2053	3379
756	2057	3378
757	2061	3378
758	2065	3376
759	2068	3375
760	2071	3373
761	2075	3371
762	2078	3369
763	2081	3367
764	2084	3364
765	2087	3362
766	2090	3360
767	2093	3358
768	2096	3356
769	2099	3354
770	2102	3351
771	2104	3347
772	2107	3345
773	2110	3342
774	2112	3339
775	2120	3345
776	2123	3342
777	2126	3339
778	2128	3336
779	2132	3335
780	2135	3333
781	2138	3331
782	2141	3327
783	2143	3325
784	2146	3322
785	2149	3319
786	2151	3316
787	2154	3314
788	2158	3313
789	2161	3310
790	2164	3308
791	2167	3306
792	2171	3304
793	2174	3302
794	2177	3299
795	2179	3296
796	2182	3293
797	2184	3291
798	2187	3288
799	2190	3286
800	2193	3283
801	2195	3280
802	2198	3276
803	2200	3273
804	2203	3270
805	2205	3267
806	2208	3264
807	2210	3260
808	2213	3258
809	2215	3254
810	2217	3250
811	2219	3247
812	2222	3245
813	2225	3241
814	2227	3239
815	2230	3236
816	2232	3232
817	2234	3229
818	2237	3225
819	2239	3222
820	2241	3218
821	2243	3215
822	2246	3212
823	2249	3210
824	2252	3208
825	2255	3206
826	2258	3202
827	2260	3199
828	2263	3196
829	2266	3194
830	2269	3192
831	2272	3189
832	2274	3187
833	2277	3184
834	2280	3181
835	2282	3178
836	2285	3176
837	2288	3173
838	2291	3170
839	2294	3168
840	2296	3165
841	2299	3162
842	2302	3160
843	2305	3157
844	2307	3154
845	2310	3151
846	2312	3148
847	2314	3144
848	2316	3141
849	2319	3137
850	2322	3135
851	2325	3133
852	2328	3130
853	2330	3127
